att_w_US,const_st,wf_rec,coast_rec,first_st,oper,NEP,rel,met,moral,instr,oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_inst,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,comm_rel,wild_rel,iden_rel,kin_rel,health_rel2,other_rel,extract_r_ins,loss_r_ins,clean_inst,decade_r_mor,right_r_mor,kin_met,resp_met,iden_met,other_met,id_num,tech_r,gender,age,edu,income,employ,pol
5,4,3,3,4,2,4.20,3.67,3.00,5.00,4.00,2,5,4,3,3,4,2.67,5,4,4,4,4,4,4,2,3,5,4,3,5,4,5,5,1,5,3,3,R_261uEZqFeKUH3AF,3,1,22,6,7,5,1
5,4,3,2,3,2,4.40,4.83,4.50,4.50,4.33,2,5,4,3,2,3,3.67,5,5,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,5,3,5,R_2ajvFuQFZExQl3n,1,1,21,4,2,3,3
5,4,3,3,4,2,4.20,4.00,3.50,3.50,3.67,2,5,4,3,3,4,3.67,4,4,5,4,4,5,4,4,4,3,4,3,3,5,4,3,4,3,3,4,R_2b1hdLIwKkoNip7,1,1,26,6,5,1,1
5,4,3,2,3,2,4.40,3.67,2.75,5.00,4.00,2,5,4,3,2,3,3.33,5,5,4,4,4,4,2,3,4,5,4,3,4,5,5,5,2,3,2,4,R_2co2HL7fSkRYHYN,3,1,38,7,9,1,3
5,4,3,4,4,2,4.40,4.17,2.75,2.00,2.67,2,5,4,3,4,4,4,4,4,4,5,5,5,3,4,4,4,5,2,1,5,2,2,3,4,2,2,R_2f4bEgPRKzRiTNX,1,2,31,6,5,1,3
5,4,3,2,3,1,3.60,3.50,2.00,2.00,3.33,1,5,4,3,2,3,3.33,4,3,4,4,3,4,3,3,3,4,4,3,3,4,2,2,2,2,1,3,R_2gIhRA96q3HNnzT,4,2,35,6,6,1,3
3,4,3,2,5,1,3.20,3.17,2.25,2.50,2.67,1,3,4,3,2,5,3.33,4,3,2,4,3,4,4,2,3,2,4,2,2,4,2,3,3,2,1,3,R_2gZzrWHmgbqM0LP,2,1,36,4,6,4,3
5,4,3,4,3,2,2.80,2.67,2.25,3.00,3.33,2,5,4,3,4,3,2.67,4,2,2,4,2,5,3,3,2,1,2,2,4,4,3,3,3,4,1,1,R_2iqXzNJaW9GXSdL,3,1,28,6,7,1,1
5,4,3,3,5,2,4.60,4.50,4.50,5.00,4.00,2,5,4,3,3,5,2.67,5,4,5,4,5,4,4,4,5,5,5,2,5,5,5,5,4,5,4,5,R_2mcTLMyd4nfnWPX,2,2,26,5,5,1,3
5,4,3,4,4,2,3.80,4.00,4.00,5.00,4.00,2,5,4,3,4,4,2.67,4,4,3,4,4,4,3,4,4,5,4,3,5,4,5,5,4,5,3,4,R_2nuErdw9OW7GWiN,5,1,19,4,5,1,5
5,4,3,3,3,2,4.60,3.83,2.75,5.00,3.00,2,5,4,3,3,3,4.33,5,4,5,5,4,3,4,4,3,4,5,3,1,5,5,5,2,3,1,5,R_2t3UDaqQVWHDjvf,5,1,44,5,3,1,3
5,4,2,3,3,2,4.40,4.33,4.00,4.50,3.67,2,5,4,2,3,3,3,5,4,4,5,4,5,4,4,4,5,4,2,4,5,4,5,4,4,4,4,R_2tMHEQd2vOXpeQt,1,1,29,6,8,1,3
5,4,3,5,3,2,4.60,4.33,3.00,5.00,4.67,2,5,4,3,5,3,3.33,4,4,5,5,5,4,4,4,4,5,5,4,5,5,5,5,2,4,1,5,R_2tpYgwkvkSFK45L,2,1,39,4,1,3,5
5,4,3,1,4,1,4.00,3.67,3.00,4.00,4.00,1,5,4,3,1,4,4,4,3,4,4,5,5,4,3,4,2,4,4,3,5,4,4,2,4,2,4,R_2tWfXopTD51sAkt,3,1,28,4,4,1,3
5,4,3,5,3,2,4.20,3.67,3.75,3.50,3.67,2,5,4,3,5,3,3,4,4,4,4,5,4,4,4,4,2,4,2,4,5,3,4,4,4,3,4,R_2udElqUm8L6HSGF,2,1,38,4,6,2,1
4,4,3,5,3,2,3.60,3.50,3.25,3.00,3.33,2,4,4,3,5,3,3.33,4,3,3,4,4,4,3,3,3,4,4,2,3,5,3,3,3,3,3,4,R_2uhPW86zEamu8ap,1,1,45,3,4,4,3
5,4,3,4,3,2,4.20,3.67,2.50,4.50,4.00,2,5,4,3,4,3,2.67,5,4,4,4,4,3,2,3,4,5,5,2,5,5,4,5,1,3,1,5,R_37CtGcT1HWsBqGF,2,1,19,4,7,5,1
4,4,3,2,3,2,4.60,4.17,3.50,3.50,3.33,2,4,4,3,2,3,3.33,5,4,4,5,5,5,4,4,3,4,5,2,3,5,4,3,4,3,2,5,R_38BQM8ojvtQfXVP,4,1,18,3,7,5,3
5,3,3,2,4,1,4.20,3.50,3.00,4.50,3.67,1,5,3,3,2,4,2.33,4,5,4,4,4,4,2,2,5,4,4,2,5,4,5,4,3,3,1,5,R_3BHxg7xEcXZrZMF,3,1,20,4,7,5,1
